SampleID,Site,CoreNo,Treatment,WetWeight_g,waterVol_ml,WSOC mgCL-1,NPOC ML-1,WSOC mgCg-1soil,Mean N [%],Mean C [%],Mean TOC [%]
C6,CPCRW,6,Time Zero Saturation,10.19,30,21.9,0.00182,0.651197252,0.0533,0.7837,0.8313
C7,CPCRW,7,Time Zero Saturation,10.3,30,18,0.0015,0.529514563,0.047,0.8457,0.8437
C8,CPCRW,8,Time Zero Saturation,10.36,30,25.3,0.0021,0.739951738,0.0727,1.77,1.807
C9,CPCRW,9,Time Zero Saturation,10.23,30,36.4,0.00303,1.078123167,0.1023,1.8283,1.839
C10,CPCRW,10,Time Zero Saturation,10.2,30,30.9,0.00258,0.917911765,0.059,1.1313,1.051
C11,CPCRW,11,Saturation Incubation,10.42,30,15.2,0.00126,0.441996161,0.0807,1.4737,1.3817
C12,CPCRW,12,Saturation Incubation,10.4,30,25.8,0.00215,0.751673077,0.0793,1.458,1.9897
C13,CPCRW,13,Saturation Incubation,10.61,30,20,0.00166,0.571159284,0.088,1.6267,1.4873
C14,CPCRW,14,Saturation Incubation,10.45,30,20.8,0.00174,0.603100479,0.0647,1.2053,1.1427
C15,CPCRW,15,Saturation Incubation,10.67,30,20.5,0.00171,0.582146204,0.1027,2.0153,1.873
C16,CPCRW,16,Field Moisture Incubation,10.05,30,26.4,0.0022,0.795940299,0.071,1.6393,1.686
C17,CPCRW,17,Field Moisture Incubation,10.21,30,22.8,0.0019,0.676630754,0.0663,1.2207,1.169
C18,CPCRW,18,Field Moisture Incubation,10.26,30,29.8,0.00248,0.88005848,0.1147,3.0113,2.916
C19,CPCRW,19,Field Moisture Incubation,10.34,30,16.7,0.00139,0.489371373,0.073,1.7693,1.738
C20,CPCRW,20,Field Moisture Incubation,10.36,30,20.3,0.00169,0.593716216,0.0837,1.5077,1.4347
C21,CPCRW,21,Drought Incubation,10.15,30,15,0.00125,0.447783251,0.0637,0.975,0.9853
C22,CPCRW,22,Drought Incubation,10.38,30,23.4,0.00195,0.683063584,0.1037,1.9763,2.0313
C23,CPCRW,23,Drought Incubation,10.5,30,31.9,0.00266,0.920542857,0.0863,2.079,1.991
C24,CPCRW,24,Drought Incubation,10.43,30,21.7,0.0018,0.630402685,0.089,1.9497,1.9967
C25,CPCRW,25,Drought Incubation,10.18,30,53.4,0.00444,1.589410609,0.0907,1.65,1.6037
D6,DWP,6,Time Zero Saturation,10.44,30,15.1,0.00126,0.438247126,0.0373,0.981,1.0103
