SampleID,Site,CoreNo,Treatment,date_collected,date_incubated,date_saturated,date_deconstructed,HeadSpace_Ht_cm,DryMass_SoilOnly_g,DryMass_NONsoil_ALL_g,VolumeSoil_cm3,soil_pH_water_airdried,DryMass_RocksRoots_g,PotPieTin+BottomCap+Liner_g,WSOC_mgC/gsoil,WSOC_mg/L,%C,%OC,Notes,,
C6,CPCRW,6,sat_I,9/18/2016,NA,10/7/2016,10/11/2016,1,188.05,272.10,206.90,5.94,213.95,58.15,0.651,21.90,0.78,0.83,,,
C7,CPCRW,7,sat_I,9/18/2016,NA,10/7/2016,10/11/2016,0,367.98,105.91,322.50,5.44,48.06,57.85,0.530,18.00,0.85,0.84,,,
C8,CPCRW,8,sat_I,9/18/2016,NA,10/7/2016,10/11/2016,2,255.05,109.05,228.29,5.22,54.80,54.25,0.740,25.30,1.77,1.81,,,
C9,CPCRW,9,sat_I,9/18/2016,NA,10/7/2016,10/11/2016,2,173.28,201.10,196.29,5.44,142.25,58.85,1.078,36.40,1.83,1.84,,,
C10,CPCRW,10,sat_I,9/18/2016,NA,10/7/2016,10/11/2016,1,285.19,125.19,267.90,5.08,72.04,53.15,0.918,30.90,1.13,1.05,,,
C11,CPCRW,11,sat_II,9/18/2016,10/11/2016,10/11/2016,11/14/2016,3,150.55,249.76,206.69,,191.51,58.25,0.442,15.20,1.47,1.38,,,
C12,CPCRW,12,sat_II,9/18/2016,10/11/2016,10/11/2016,11/14/2016,3,232.06,137.83,171.69,,79.48,58.35,0.752,25.80,1.46,1.99,,,
C13,CPCRW,13,sat_II,9/18/2016,10/11/2016,10/11/2016,11/14/2016,1,138.96,296.76,186.90,,238.81,57.95,0.571,20.00,1.63,1.49,,,
C14,CPCRW,14,sat_II,9/18/2016,10/11/2016,10/11/2016,11/14/2016,1.5,233.10,151.38,235.09,,92.63,58.75,0.603,20.80,1.21,1.14,,,
C15,CPCRW,15,sat_II,9/18/2016,10/11/2016,10/11/2016,11/14/2016,5,156.34,112.97,94.48,4.77,54.22,58.75,0.582,20.50,2.02,1.87,,,
C16,CPCRW,16,field_moist,9/18/2016,10/11/2016,11/10/2016,11/14/2016,0,213.67,124.03,318.50,4.89,66.48,57.55,0.796,26.40,1.64,1.69,,,
C17,CPCRW,17,field_moist,9/18/2016,10/11/2016,11/10/2016,11/14/2016,3,209.99,129.62,174.69,4.99,71.97,57.65,0.677,22.80,1.22,1.17,,,
C18,CPCRW,18,field_moist,9/18/2016,10/11/2016,11/10/2016,11/14/2016,0,168.51,143.44,312.50,4.9,89.39,54.05,0.880,29.80,3.01,2.92,,,
C19,CPCRW,19,field_moist,9/18/2016,10/11/2016,11/10/2016,11/14/2016,0,320.73,109.36,327.50,5.22,55.21,54.15,0.489,16.70,1.77,1.74,,,
C20,CPCRW,20,field_moist,9/18/2016,10/11/2016,11/10/2016,11/14/2016,0,278.90,150.95,302.50,4.96,93.30,57.65,0.594,20.30,1.51,1.43,,,
C21,CPCRW,21,drought,9/18/2016,11/4/2016,12/4/2016,12/8/2016,0.5,225.90,261.43,243.70,5.09,203.98,57.45,0.448,15.00,0.98,0.99,,,
C22,CPCRW,22,drought,9/18/2016,11/4/2016,12/4/2016,12/8/2016,0.5,216.87,140.41,289.70,5.1,82.26,58.15,0.683,23.40,1.98,2.03,,,
C23,CPCRW,23,drought,9/18/2016,11/4/2016,12/4/2016,12/8/2016,0.5,214.95,116.61,300.70,5.67,58.56,58.05,0.921,31.90,2.08,1.99,,,
C24,CPCRW,24,drought,9/18/2016,11/4/2016,12/4/2016,12/8/2016,0.5,198.71,125.40,289.70,5.05,67.55,57.85,0.630,21.70,1.95,2.00,,,
C25,CPCRW,25,drought,9/18/2016,11/4/2016,12/4/2016,12/8/2016,0.5,232.30,114.34,299.70,4.7,55.09,59.25,1.589,53.40,1.65,1.60,,,
D6,DWP,6,sat_I,5/31/2017,NA,6/15/2017,6/19/2017,0,444.51,78.85,333.50,4.69,18.70,60.15,0.438,15.10,0.98,1.01,,,
D7,DWP,7,sat_I,5/31/2017,NA,6/15/2017,6/19/2017,0,507.14,77.75,332.50,5.055,17.80,59.95,0.550,18.40,0.39,0.36,,,
D8,DWP,8,sat_I,5/31/2017,NA,6/15/2017,6/19/2017,0.5,442.15,67.05,317.70,4.6,8.00,59.05,0.246,8.21,0.49,0.43,,,
D9,DWP,9,sat_I,5/31/2017,NA,6/15/2017,6/19/2017,2.5,277.92,65.75,232.49,4.685,3.80,61.95,0.646,27.90,1.06,1.13,,,
D10,DWP,10,sat_I,5/31/2017,NA,6/15/2017,6/19/2017,0,402.18,79.35,322.50,4.305,20.60,58.75,0.657,22.00,0.99,0.99,,,
D11,DWP,11,sat_II,5/31/2017,6/17/2017,6/17/2017,7/20/2017,0,432.75,74.55,335.50,4.62,12.30,62.25,0.291,9.83,0.79,0.80,,,
D12,DWP,12,sat_II,5/31/2017,6/17/2017,6/17/2017,7/20/2017,0,392.66,92.15,331.50,4.67,30.50,61.65,0.379,13.00,1.17,1.01,,,
D13,DWP,13,sat_II,5/31/2017,6/17/2017,6/17/2017,7/20/2017,1,352.08,68.65,297.90,4.45,8.60,60.05,0.263,9.05,0.56,0.52,,,
D14,DWP,14,sat_II,5/31/2017,6/17/2017,6/17/2017,7/20/2017,0.5,362.82,68.45,318.70,4.495,6.70,61.75,0.415,14.30,0.63,0.62,,,
D15,DWP,15,sat_II,5/31/2017,6/17/2017,6/17/2017,7/20/2017,0.5,296.56,74.65,315.70,4.5,12.90,61.75,0.579,19.90,1.01,1.10,,,
D16,DWP,16,field_moist,5/31/2017,6/23/2017,7/23/2017,7/27/2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,removed from analyses,,
D17,DWP,17,field_moist,5/31/2017,6/23/2017,7/23/2017,7/27/2017,1,318.25,78.25,291.90,4.765,7.40,70.85,0.305,10.60,0.94,0.87,,,
D18,DWP,18,field_moist,5/31/2017,6/23/2017,7/23/2017,7/27/2017,0,461.79,79.55,336.50,4.705,8.40,71.15,0.395,13.20,0.63,0.97,,,
D19,DWP,19,field_moist,5/31/2017,6/23/2017,7/23/2017,7/27/2017,0,457.99,83.25,339.50,4.59,12.60,70.65,0.454,15.50,0.91,0.79,,,
D20,DWP,20,field_moist,5/31/2017,6/23/2017,7/23/2017,7/27/2017,0,387.10,80.35,337.50,4.77,9.00,71.35,0.251,8.57,0.66,0.62,,,
D21,DWP,21,drought,5/31/2017,7/24/2017,8/24/2017,8/28/2017,0,431.48,88.15,331.50,4.755,18.90,69.25,0.272,9.35,0.73,0.77,,,
D22,DWP,22,drought,5/31/2017,7/24/2017,8/24/2017,8/28/2017,0,421.19,81.85,332.50,5.575,13.70,68.15,0.302,10.40,0.61,0.69,,,
D23,DWP,23,drought,5/31/2017,7/24/2017,8/24/2017,8/28/2017,0,404.84,76.75,344.50,4.955,8.80,67.95,0.243,8.02,0.82,0.81,,,
D24,DWP,24,drought,5/31/2017,7/24/2017,8/24/2017,8/28/2017,0,307.07,78.85,340.50,4.78,7.80,71.05,2.179,73.70,0.80,0.80,,,
