"Mass","tension","site","treatment","intensity","HC","OC","Class"
200.1292468,"1.5 kPa","Florida","drought",4342.1040528,1.9,0.3,"Protein"
200.1292468,"50 kPa","Florida","drought",17499.508546,1.9,0.3,"Protein"
200.1292468,"50 kPa","Florida","time zero saturation",5025.29467766667,1.9,0.3,"Protein"
201.0768719,"50 kPa","Alaska","drought",4113.725769125,1.56,0.56,"AminoSugar"
201.0768719,"50 kPa","Florida","drought",1171.97049986667,1.56,0.56,"AminoSugar"
201.1132557,"1.5 kPa","Alaska","drought",3490.4866029,1.8,0.4,"Protein"
201.1132557,"1.5 kPa","Alaska","field moist",1562.037178,1.8,0.4,"Protein"
201.1132557,"1.5 kPa","Alaska","flood",3346.79886245,1.8,0.4,"Protein"
201.1132557,"1.5 kPa","Alaska","time zero saturation",2357.86936943333,1.8,0.4,"Protein"
201.1132557,"1.5 kPa","Florida","drought",1711.7691042,1.8,0.4,"Protein"
201.1132557,"1.5 kPa","Florida","field moist",3256.2965903,1.8,0.4,"Protein"
201.1132557,"1.5 kPa","Florida","time zero saturation",2219.85717733333,1.8,0.4,"Protein"
201.1132557,"1.5 kPa","Washington","drought",4069.587447425,1.8,0.4,"Protein"
201.1132557,"1.5 kPa","Washington","field moist",1032.67606812,1.8,0.4,"Protein"
201.1132557,"1.5 kPa","Washington","flood",1111.16548673333,1.8,0.4,"Protein"
201.1132557,"1.5 kPa","Washington","time zero saturation",1275.13288885,1.8,0.4,"Protein"
201.1132557,"50 kPa","Alaska","drought",13147.3251472,1.8,0.4,"Protein"
201.1132557,"50 kPa","Alaska","flood",5604.85565125,1.8,0.4,"Protein"
201.1132557,"50 kPa","Florida","drought",6850.4414065,1.8,0.4,"Protein"
201.1132557,"50 kPa","Florida","field moist",3711.60847963333,1.8,0.4,"Protein"
201.1132557,"50 kPa","Florida","flood",4317.6692658,1.8,0.4,"Protein"
201.1132557,"50 kPa","Florida","time zero saturation",8019.35488825,1.8,0.4,"Protein"
201.1132557,"50 kPa","Washington","drought",4225.84814433333,1.8,0.4,"Protein"
201.1132557,"50 kPa","Washington","field moist",1033.39108266,1.8,0.4,"Protein"
201.1132557,"50 kPa","Washington","flood",4847.2816155,1.8,0.4,"Protein"
201.1132557,"50 kPa","Washington","time zero saturation",3431.65388966667,1.8,0.4,"Protein"
203.0350005,"50 kPa","Alaska","flood",2234.32169566667,0.73,0.36,"ConHC"
203.107783,"1.5 kPa","Alaska","field moist",2251.38409403333,1.23,0.15,"Lignin"
203.107783,"50 kPa","Alaska","flood",2328.88830566667,1.23,0.15,"Lignin"
203.107783,"50 kPa","Alaska","time zero saturation",1245.8307089,1.23,0.15,"Lignin"
203.1289088,"1.5 kPa","Alaska","flood",5468.542806,2,0.4,"Protein"
203.1289088,"50 kPa","Alaska","flood",5513.032959,2,0.4,"Protein"
205.0142724,"50 kPa","Florida","flood",2695.04508198333,0.6,0.5,"ConHC"
205.0354043,"1.5 kPa","Florida","time zero saturation",4781.29223633333,1.43,1,"Tannin"
205.0354043,"50 kPa","Florida","time zero saturation",6650.77008,1.43,1,"Tannin"
205.0506543,"1.5 kPa","Alaska","field moist",1535.1698915,0.91,0.36,"Lignin"
205.0506543,"50 kPa","Alaska","field moist",1028.11816393333,0.91,0.36,"Lignin"
205.0506543,"50 kPa","Alaska","flood",2036.19490566667,0.91,0.36,"Lignin"
205.0870357,"1.5 kPa","Alaska","field moist",2134.8871346,1.17,0.25,"Lignin"
205.0870357,"1.5 kPa","Alaska","time zero saturation",2408.390584,1.17,0.25,"Lignin"
205.0870357,"50 kPa","Alaska","drought",8358.6689904,1.17,0.25,"Lignin"
205.0870357,"50 kPa","Alaska","field moist",2323.3840942,1.17,0.25,"Lignin"
205.0870357,"50 kPa","Alaska","flood",2982.65066525,1.17,0.25,"Lignin"
205.0870357,"50 kPa","Alaska","time zero saturation",2429.3238038,1.17,0.25,"Lignin"
205.1234302,"1.5 kPa","Alaska","field moist",1703.3371377,1.38,0.15,"Lignin"
205.1234302,"50 kPa","Alaska","drought",17574.546875,1.38,0.15,"Lignin"
205.1234302,"50 kPa","Alaska","field moist",2015.15043133333,1.38,0.15,"Lignin"
205.1234302,"50 kPa","Alaska","flood",5573.07377233333,1.38,0.15,"Lignin"
205.1234302,"50 kPa","Alaska","time zero saturation",1770.46565766667,1.38,0.15,"Lignin"
205.1234302,"50 kPa","Washington","time zero saturation",2714.72692863333,1.38,0.15,"Lignin"
205.1598138,"1.5 kPa","Alaska","drought",2241.694214,1.57,0.07,"Lipid"
205.1598138,"1.5 kPa","Alaska","field moist",2659.22565296,1.57,0.07,"Lipid"
205.1598138,"1.5 kPa","Alaska","flood",5111.72980334,1.57,0.07,"Lipid"
205.1598138,"1.5 kPa","Alaska","time zero saturation",5443.801758,1.57,0.07,"Lipid"
205.1598138,"1.5 kPa","Florida","drought",1908.38513166667,1.57,0.07,"Lipid"
205.1598138,"1.5 kPa","Florida","field moist",3649.71081533333,1.57,0.07,"Lipid"
205.1598138,"1.5 kPa","Florida","flood",3488.3469238,1.57,0.07,"Lipid"
205.1598138,"1.5 kPa","Florida","time zero saturation",4229.571696,1.57,0.07,"Lipid"
205.1598138,"1.5 kPa","Washington","drought",1672.9596191,1.57,0.07,"Lipid"
205.1598138,"1.5 kPa","Washington","field moist",3805.3654296,1.57,0.07,"Lipid"
205.1598138,"1.5 kPa","Washington","flood",3164.7443235,1.57,0.07,"Lipid"
205.1598138,"1.5 kPa","Washington","time zero saturation",4805.15661625,1.57,0.07,"Lipid"
205.1598138,"50 kPa","Alaska","drought",12197.2459326667,1.57,0.07,"Lipid"
205.1598138,"50 kPa","Alaska","flood",6057.923218,1.57,0.07,"Lipid"
205.1598138,"50 kPa","Alaska","time zero saturation",7958.8062506,1.57,0.07,"Lipid"
205.1598138,"50 kPa","Florida","drought",2517.021881,1.57,0.07,"Lipid"
205.1598138,"50 kPa","Florida","field moist",4113.09480766667,1.57,0.07,"Lipid"
205.1598138,"50 kPa","Florida","flood",4136.297561725,1.57,0.07,"Lipid"
205.1598138,"50 kPa","Florida","time zero saturation",6306.540691,1.57,0.07,"Lipid"
205.1598138,"50 kPa","Washington","drought",6645.743927,1.57,0.07,"Lipid"
205.1598138,"50 kPa","Washington","field moist",6666.2893554,1.57,0.07,"Lipid"
205.1598138,"50 kPa","Washington","flood",5364.1116335,1.57,0.07,"Lipid"
205.1598138,"50 kPa","Washington","time zero saturation",5772.631775,1.57,0.07,"Lipid"
207.0121627,"1.5 kPa","Washington","field moist",4725.7401854,0.8,0.3,"Lignin"
207.0121627,"1.5 kPa","Washington","flood",8016.87844775,0.8,0.3,"Lignin"
207.0121627,"50 kPa","Washington","drought",878.635335166667,0.8,0.3,"Lignin"
207.0121627,"50 kPa","Washington","field moist",3144.3219972,0.8,0.3,"Lignin"
207.0121627,"50 kPa","Washington","flood",6333.46167,0.8,0.3,"Lignin"
207.0299118,"1.5 kPa","Alaska","field moist",1143.6080131,0.8,0.5,"Lignin"
207.0299118,"1.5 kPa","Alaska","time zero saturation",1903.735677,0.8,0.5,"Lignin"
207.0299118,"50 kPa","Alaska","drought",4453.499388675,0.8,0.5,"Lignin"
207.0299118,"50 kPa","Alaska","flood",2231.40751133333,0.8,0.5,"Lignin"
207.0299118,"50 kPa","Alaska","time zero saturation",1654.0763245,0.8,0.5,"Lignin"
207.0510523,"1.5 kPa","Alaska","drought",4451.87805175,1.71,1,"Carb"
207.0510523,"1.5 kPa","Florida","time zero saturation",8913.67561866667,1.71,1,"Carb"
207.0510523,"50 kPa","Alaska","drought",20107.8164045,1.71,1,"Carb"
207.0510523,"50 kPa","Florida","time zero saturation",9941.138428,1.71,1,"Carb"
207.0663043,"1.5 kPa","Alaska","field moist",2156.9010906,1.09,0.36,"Lignin"
207.0663043,"1.5 kPa","Alaska","time zero saturation",1440.53656025,1.09,0.36,"Lignin"
207.0663043,"50 kPa","Alaska","drought",5076.94067384,1.09,0.36,"Lignin"
207.0663043,"50 kPa","Alaska","field moist",2091.13671866667,1.09,0.36,"Lignin"
207.0663043,"50 kPa","Alaska","flood",3332.8967895,1.09,0.36,"Lignin"
207.0663043,"50 kPa","Alaska","time zero saturation",2309.3355347,1.09,0.36,"Lignin"
207.1026919,"1.5 kPa","Alaska","field moist",2957.32189933333,1.33,0.25,"Lignin"
207.1026919,"1.5 kPa","Alaska","flood",2915.1136144,1.33,0.25,"Lignin"
207.1026919,"1.5 kPa","Alaska","time zero saturation",1523.39368075,1.33,0.25,"Lignin"
207.1026919,"50 kPa","Alaska","drought",11920.72503775,1.33,0.25,"Lignin"
207.1026919,"50 kPa","Alaska","field moist",2809.78234843333,1.33,0.25,"Lignin"
207.1026919,"50 kPa","Alaska","flood",3756.8239745,1.33,0.25,"Lignin"
207.1026919,"50 kPa","Alaska","time zero saturation",2590.807422,1.33,0.25,"Lignin"
207.1390755,"50 kPa","Florida","time zero saturation",5909.63362633333,1.54,0.15,"Lipid"
207.1390755,"50 kPa","Washington","drought",4662.5349308,1.54,0.15,"Lipid"
207.1390755,"50 kPa","Washington","field moist",992.1019084,1.54,0.15,"Lipid"
207.1390755,"50 kPa","Washington","flood",7463.92510953333,1.54,0.15,"Lipid"
207.1390755,"50 kPa","Washington","time zero saturation",2939.60534663333,1.54,0.15,"Lipid"
207.1503082,"1.5 kPa","Alaska","field moist",2933.49503586667,1.67,0.08,"Lipid"
207.1503082,"1.5 kPa","Alaska","flood",4152.718250275,1.67,0.08,"Lipid"
207.1503082,"1.5 kPa","Washington","drought",2695.12299376,1.67,0.08,"Lipid"
207.1503082,"1.5 kPa","Washington","field moist",1351.650848375,1.67,0.08,"Lipid"
207.1503082,"1.5 kPa","Washington","flood",2943.79949975,1.67,0.08,"Lipid"
207.1503082,"1.5 kPa","Washington","time zero saturation",894.9594955,1.67,0.08,"Lipid"
207.1503082,"50 kPa","Alaska","time zero saturation",1268.77423106667,1.67,0.08,"Lipid"
207.1503082,"50 kPa","Washington","field moist",2659.7774904,1.67,0.08,"Lipid"
207.1503082,"50 kPa","Washington","flood",3304.647461,1.67,0.08,"Lipid"
207.1503082,"50 kPa","Washington","time zero saturation",2503.3084715,1.67,0.08,"Lipid"
209.0455722,"1.5 kPa","Alaska","field moist",2101.757934625,1,0.5,"Lignin"
209.0455722,"1.5 kPa","Alaska","time zero saturation",2170.85015875,1,0.5,"Lignin"
209.0455722,"1.5 kPa","Florida","field moist",916.256673166667,1,0.5,"Lignin"
209.0455722,"50 kPa","Alaska","drought",5752.9904428,1,0.5,"Lignin"
209.0455722,"50 kPa","Alaska","field moist",1994.49495466667,1,0.5,"Lignin"
209.0455722,"50 kPa","Alaska","flood",4255.044983,1,0.5,"Lignin"
209.0455722,"50 kPa","Alaska","time zero saturation",1810.9956786,1,0.5,"Lignin"
209.0455722,"50 kPa","Florida","drought",1348.38887566667,1,0.5,"Lignin"
209.0455722,"50 kPa","Florida","field moist",1426.71606453333,1,0.5,"Lignin"
209.0455722,"50 kPa","Florida","flood",2292.24507126667,1,0.5,"Lignin"
209.0666992,"1.5 kPa","Alaska","drought",5096.97135433333,2,1,"Carb"
209.0666992,"1.5 kPa","Florida","time zero saturation",39974.6582045,2,1,"Carb"
209.0666992,"1.5 kPa","Washington","field moist",1365.4827679,2,1,"Carb"
209.0666992,"50 kPa","Florida","time zero saturation",78621.0991175,2,1,"Carb"
209.0819552,"1.5 kPa","Alaska","field moist",3872.265773075,1.27,0.36,"Lignin"
209.0819552,"1.5 kPa","Alaska","flood",3898.90017014,1.27,0.36,"Lignin"
209.0819552,"1.5 kPa","Alaska","time zero saturation",2931.3490538,1.27,0.36,"Lignin"
209.0819552,"1.5 kPa","Florida","field moist",1130.65152993333,1.27,0.36,"Lignin"
209.0819552,"50 kPa","Alaska","drought",11588.4506368,1.27,0.36,"Lignin"
209.0819552,"50 kPa","Alaska","field moist",4094.31599933333,1.27,0.36,"Lignin"
209.0819552,"50 kPa","Alaska","flood",6106.466919,1.27,0.36,"Lignin"
209.0819552,"50 kPa","Alaska","time zero saturation",3712.5518066,1.27,0.36,"Lignin"
209.0819552,"50 kPa","Florida","drought",2001.928192125,1.27,0.36,"Lignin"
209.0853188,"50 kPa","Florida","drought",2316.672363,2.25,0.5,"Protein"
209.1183371,"1.5 kPa","Alaska","field moist",2224.0930581,1.5,0.25,"Lipid"
209.1183371,"50 kPa","Alaska","drought",13244.585785475,1.5,0.25,"Lipid"
209.1183371,"50 kPa","Alaska","flood",3964.77728275,1.5,0.25,"Lipid"
209.1183371,"50 kPa","Alaska","time zero saturation",1703.276001,1.5,0.25,"Lipid"
209.1547249,"50 kPa","Florida","time zero saturation",5314.13720733333,1.69,0.15,"Lipid"
209.1547249,"50 kPa","Washington","field moist",674.2748413,1.69,0.15,"Lipid"
211.0248334,"50 kPa","Alaska","flood",2641.016805,0.89,0.67,"Tannin"
211.061218,"1.5 kPa","Alaska","field moist",3624.953544625,1.2,0.5,"Lignin"
211.061218,"1.5 kPa","Alaska","flood",3842.81741938,1.2,0.5,"Lignin"
211.061218,"1.5 kPa","Alaska","time zero saturation",2611.363684,1.2,0.5,"Lignin"
211.061218,"1.5 kPa","Florida","field moist",1521.31518566667,1.2,0.5,"Lignin"
211.061218,"50 kPa","Alaska","drought",9315.7647474,1.2,0.5,"Lignin"
211.061218,"50 kPa","Alaska","field moist",4133.917399,1.2,0.5,"Lignin"
211.061218,"50 kPa","Alaska","flood",6124.92456,1.2,0.5,"Lignin"
211.061218,"50 kPa","Alaska","time zero saturation",3260.293384,1.2,0.5,"Lignin"
211.061218,"50 kPa","Florida","drought",1680.8026122,1.2,0.5,"Lignin"
211.061218,"50 kPa","Florida","time zero saturation",4404.45125366667,1.2,0.5,"Lignin"
211.0975987,"1.5 kPa","Alaska","drought",4382.01875833333,1.45,0.36,"Lignin"
211.0975987,"1.5 kPa","Alaska","field moist",2859.693016075,1.45,0.36,"Lignin"
211.0975987,"1.5 kPa","Alaska","flood",4570.25589805,1.45,0.36,"Lignin"
211.0975987,"1.5 kPa","Alaska","time zero saturation",2549.75289012,1.45,0.36,"Lignin"
211.0975987,"1.5 kPa","Florida","drought",3505.9824218,1.45,0.36,"Lignin"
211.0975987,"1.5 kPa","Florida","field moist",3114.66748066667,1.45,0.36,"Lignin"
211.0975987,"1.5 kPa","Florida","flood",2631.290151,1.45,0.36,"Lignin"
211.0975987,"1.5 kPa","Washington","drought",1377.4155128925,1.45,0.36,"Lignin"
211.0975987,"50 kPa","Alaska","drought",13354.50879,1.45,0.36,"Lignin"
211.0975987,"50 kPa","Alaska","field moist",2674.87872306667,1.45,0.36,"Lignin"
211.0975987,"50 kPa","Alaska","flood",10155.5130615,1.45,0.36,"Lignin"
211.0975987,"50 kPa","Alaska","time zero saturation",2704.23876975,1.45,0.36,"Lignin"
211.0975987,"50 kPa","Florida","drought",12075.88726775,1.45,0.36,"Lignin"
211.0975987,"50 kPa","Florida","field moist",4460.0122885,1.45,0.36,"Lignin"
211.0975987,"50 kPa","Florida","flood",7755.532168325,1.45,0.36,"Lignin"
211.0975987,"50 kPa","Florida","time zero saturation",12270.77181,1.45,0.36,"Lignin"
211.0975987,"50 kPa","Washington","drought",10168.9029963333,1.45,0.36,"Lignin"
211.0975987,"50 kPa","Washington","field moist",1968.70007313333,1.45,0.36,"Lignin"
211.0975987,"50 kPa","Washington","flood",13879.1987316,1.45,0.36,"Lignin"
211.1339868,"1.5 kPa","Washington","drought",810.618316766667,1.67,0.25,"Lipid"
211.1339868,"1.5 kPa","Washington","time zero saturation",394.79424665,1.67,0.25,"Lipid"
211.1339868,"50 kPa","Alaska","drought",10248.007981,1.67,0.25,"Lipid"
211.1339868,"50 kPa","Alaska","flood",5197.18823233333,1.67,0.25,"Lipid"
211.1339868,"50 kPa","Florida","time zero saturation",5713.94018566667,1.67,0.25,"Lipid"
211.1339868,"50 kPa","Washington","field moist",844.680501333333,1.67,0.25,"Lipid"
211.1339868,"50 kPa","Washington","flood",2437.33149725,1.67,0.25,"Lipid"
211.1339868,"50 kPa","Washington","time zero saturation",2732.85042313333,1.67,0.25,"Lipid"
212.0750953,"1.5 kPa","Alaska","drought",2202.25187166667,1.5,0.2,"Lipid"
212.0750953,"1.5 kPa","Alaska","field moist",2139.35465116,1.5,0.2,"Lipid"
212.0750953,"1.5 kPa","Alaska","flood",5491.48430186,1.5,0.2,"Lipid"
212.0750953,"1.5 kPa","Alaska","time zero saturation",2857.51155988,1.5,0.2,"Lipid"
212.0750953,"1.5 kPa","Florida","field moist",2367.31619275,1.5,0.2,"Lipid"
212.0750953,"1.5 kPa","Florida","flood",2118.27154525,1.5,0.2,"Lipid"
212.0750953,"1.5 kPa","Washington","drought",2298.27323014,1.5,0.2,"Lipid"
212.0750953,"1.5 kPa","Washington","field moist",3757.458667,1.5,0.2,"Lipid"
212.0750953,"1.5 kPa","Washington","flood",2193.42416375,1.5,0.2,"Lipid"
212.0750953,"1.5 kPa","Washington","time zero saturation",1972.8697205,1.5,0.2,"Lipid"
212.0750953,"50 kPa","Alaska","field moist",2726.6931965,1.5,0.2,"Lipid"
212.0750953,"50 kPa","Alaska","flood",4054.28287766667,1.5,0.2,"Lipid"
212.0750953,"50 kPa","Alaska","time zero saturation",2762.87896725,1.5,0.2,"Lipid"
212.0750953,"50 kPa","Florida","flood",3541.39949566667,1.5,0.2,"Lipid"
212.0750953,"50 kPa","Washington","drought",32603.5510253333,1.5,0.2,"Lipid"
212.0750953,"50 kPa","Washington","field moist",2722.9241454,1.5,0.2,"Lipid"
212.0750953,"50 kPa","Washington","flood",6188.930603,1.5,0.2,"Lipid"
212.0750953,"50 kPa","Washington","time zero saturation",4062.9090699,1.5,0.2,"Lipid"
213.0768614,"1.5 kPa","Alaska","drought",4163.46984866667,1.4,0.5,"Lignin"
213.0768614,"1.5 kPa","Alaska","field moist",3018.16422533333,1.4,0.5,"Lignin"
213.0768614,"1.5 kPa","Alaska","flood",3361.93777466667,1.4,0.5,"Lignin"
213.0768614,"1.5 kPa","Florida","field moist",2023.89070633333,1.4,0.5,"Lignin"
213.0768614,"50 kPa","Alaska","drought",10421.5487316,1.4,0.5,"Lignin"
213.0768614,"50 kPa","Alaska","flood",5133.24487325,1.4,0.5,"Lignin"
213.0768614,"50 kPa","Alaska","time zero saturation",2589.411163475,1.4,0.5,"Lignin"
213.0768614,"50 kPa","Florida","drought",2940.99826075,1.4,0.5,"Lignin"
213.0768614,"50 kPa","Florida","field moist",3028.94175213333,1.4,0.5,"Lignin"
213.0768614,"50 kPa","Florida","flood",2810.91897945,1.4,0.5,"Lignin"
213.1132532,"1.5 kPa","Florida","drought",3185.54550175,1.64,0.36,"Protein"
213.1132532,"1.5 kPa","Florida","field moist",1924.761027,1.64,0.36,"Protein"
213.1132532,"1.5 kPa","Washington","drought",1455.44614636667,1.64,0.36,"Protein"
213.1132532,"50 kPa","Alaska","drought",8379.523461,1.64,0.36,"Protein"
213.1132532,"50 kPa","Alaska","flood",4993.184245,1.64,0.36,"Protein"
213.1132532,"50 kPa","Florida","drought",7869.514619,1.64,0.36,"Protein"
