Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj							
TIGR02851	23.41649444	5.156667673	0.603127784	8.549875843	1.23E-17	1.40E-14	Regulatory functions	DNA interactions	spore_V_T	stage V sporulation protein T	spoVT	NA	"Members of this protein family are the stage V sporulation protein T (SpoVT), a protein of the sporulation/germination program in Bacillus subtilis and related species. The amino-terminal 50 amino acids are nearly perfectly conserved across all endospore-forming bacteria. SpoVT is a DNA-binding transcriptional regulator related to AbrB (See PFAM model PF04014)."
TIGR02844	6.65961367	6.266191086	0.784407124	7.988442347	1.37E-15	7.78E-13	Regulatory functions	DNA interactions	spore_III_D	sporulation transcriptional regulator SpoIIID	spoIIID	NA	"Members of this protein are the transcriptional regulator SpoIIID, or stage III sporulation protein D. It is present in genomes if and only if the species is capable of endospore formation as occurs in the model species Bacillus subtilis. SpoIIID is a DNA binding protein that, in B. subtilis, downregulates many genes but also turns on ten genes."
TIGR02846	53.00952541	2.370809762	0.385803764	6.145118287	7.99E-10	3.03E-07	Transcription	Transcription factors	spore_sigmaK	RNA polymerase sigma-K factor	sigK	NA	"The sporulation-specific transcription factor sigma-K (also called sigma-27) is expressed in the mother cell compartment of endospore-forming bacteria such as Bacillus subtilis. Like its close homolog sigma-E (sigma-29) (see TIGR02835), also specific to the mother cell compartment, it must be activated by a proteolytic cleavage. Note that in Bacillus subtilis (and apparently also Clostridium tetani), but not in other endospore forming species such as Bacillus anthracis, the sigK gene is generated by a non-germline (mother cell only) chromosomal rearrangement that recombines coding regions for the N-terminal and C-terminal regions of sigma-K."
TIGR03235	132.397167	0.983945996	0.178858572	5.501251558	3.77E-08	1.07E-05	DNA metabolism	Restriction/modification	DNA_S_dndA	cysteine desulfurase DndA	dndA	2.8.1.7	"This model describes DndA, a protein related to IscS and part of a larger family of cysteine desulfurases. It is encoded, typically, divergently from a conserved, sparsely distributed operon for sulfur modification of DNA. This modification system is designated dnd, after the phenotype of DNA degradation during electrophoresis. The system is sporadically distributed in bacteria, much like some restriction enzyme operons. DndB is described as a putative ATPase."
TIGR02383	87.52200511	1.09023549	0.205257743	5.311543787	1.09E-07	2.48E-05	Regulatory functions	Other	Hfq	RNA chaperone Hfq	hfq	NA	"This model represents the RNA-binding pleiotropic regulator Hfq, a small, Sm-like protein of bacteria. It helps pair regulatory noncoding RNAs with complementary mRNA target regions. It enhances the elongation of poly(A) tails on mRNA. It appears also to protect RNase E recognition sites (A/U-rich sequences with adjacent stem-loop structures) from cleavage. Being pleiotropic, it differs in some of its activities in different species. Hfq binds the non-coding regulatory RNA DsrA (see Rfam RF00014) in the few species known to have it: Escherichia coli, Shigella flexneri, Salmonella spp."
TIGR02638	27.68864289	3.429915251	0.651809671	5.262142313	1.42E-07	2.70E-05	Energy metabolism	Sugars	lactal_redase	lactaldehyde reductase	fucO	1.1.1.77	This clade of genes encoding iron-containing alcohol dehydrogenase (PF00465) proteins is generally found in apparent operons for the catabolism of rhamnose or fucose.
TIGR00320	15.82100543	3.982558303	0.768128152	5.184757638	2.16E-07	3.52E-05	Energy metabolism	Electron transport	dfx_rbo	desulfoferrodoxin	NA	NA	"The short N-terminal domain contains four conserved Cys for binding of a ferric iron atom, and is homologous to the small protein desulforedoxin; this domain may also be responsible for dimerization. The remainder of the molecule binds a ferrous iron atom and is similar to neelaredoxin, a monomeric blue non-heme iron protein. The homolog from Treponema pallidum scores between the trusted cutoff for orthology and the noise cutoff. Although essentially a full length homolog, it lacks three of the four Cys residues in the N-terminal domain; the domain may have lost ferric binding ability but may have some conserved structural role such as dimerization, or some new function. This protein is described in some articles as rubredoxin oxidoreductase (rbo), and its gene shares an operon with the rubredoxin gene in Desulfovibrio vulgaris Hildenborough."
TIGR04272	62.71062046	2.033758052	0.401211016	5.069048384	4.00E-07	5.69E-05	NA	NA	cxxc_cxxc_Mbark	CxxC-x17-CxxC domain	NA	NA	"This domain, with a pair of CXXC motifs separated by 17 amino acids, is a candidate zinc finger domain based on these motifs. Some proteins have two copies of the domain, while others are fused to another probable zinc-binding domain, described by Pfam model PF13451."
TIGR03402	168.2484811	0.929680959	0.185896622	5.001064287	5.70E-07	7.22E-05	NA	NA	FeS_nifS	cysteine desulfurase NifS	nifS	2.8.1.7	"Members of this protein family are NifS, one of several related families of cysteine desulfurase involved in iron-sulfur (FeS) cluster biosynthesis. NifS is part of the NIF system, usually associated with other nif genes involved in nitrogenase expression and nitrogen fixation. The protein family is given a fairly broad interpretation here. It includes a clade nearly always found in extended nitrogen fixation genomic regions, plus a second clade more closely related to the first than to IscS and also part of NifS-like/NifU-like systems. This model does not extend to a more distantly clade found in the epsilon proteobacteria such as Helicobacter pylori, also named NifS in the literature, built instead in TIGR03403."
TIGR02835	38.12489355	1.977194568	0.403464621	4.900540137	9.56E-07	0.000108858	Cellular processes	Sporulation and germination	spore_sigmaE	RNA polymerase sigma-E factor	sigE	NA	"Members of this family comprise the Firmicutes lineage endospore formation-specific sigma factor SigE, also called SpoIIGB and sigma-29. As characterized in Bacillus subtilis, this protein is synthesized as a precursor, specifically in the mother cell compartment, and must cleaved by the SpoIIGA protein to be made active."
TIGR02836	38.56555454	4.565927837	0.939123309	4.861904495	1.16E-06	0.000120384	Cellular processes	Sporulation and germination	spore_IV_A	stage IV sporulation protein A	spoIVA	NA	"A comparative genome analysis of all sequenced genomes of shows a number of proteins conserved strictly among the endospore-forming subset of the Firmicutes. This protein, a member of this panel, is designated stage IV sporulation protein A. It acts in the mother cell compartment and plays a role in spore coat morphogenesis."
TIGR02006	238.1201213	1.0203121	0.222491511	4.585847332	4.52E-06	0.000429165	Protein synthesis	tRNA and rRNA base modification	IscS	cysteine desulfurase IscS	iscS	2.8.1.7	"This HMM represents IscS, one of several cysteine desulfurases from a larger protein family designated (misleadingly, in this case) class V aminotransferases. IscS is one of at least 6 enzymes characteristic of the IscSUA-hscAB-fsx system of iron-sulfur cluster assembly. Scoring almost as well as proteobacterial sequences included in the model are mitochondrial cysteine desulfurases, apparently from an analogous system in eukaryotes. The sulfur, taken from cysteine, may be used in other systems as well, such as tRNA base modification and biosynthesis of other cofactors."
TIGR03407	39.34298084	-2.202398669	0.499983607	-4.404941759	1.06E-05	0.000927079	Transport and binding proteins	"Amino acids, peptides and amines"	urea_ABC_UrtA	"urea ABC transporter, urea binding protein"	urtA	NA	Members of this protein family are ABC transporter substrate-binding proteins associated with urea transport and metabolism. This protein is found in a conserved five-gene transport operon typically found adjacent to urease genes. It was shown in Cyanobacteria that disruption leads to the loss of high-affinity urea transport activity. Members of this protein family tend to have the twin-arginine signal for Sec-independent transport across the plasma membrane.
TIGR00836	30.77071946	-1.787797818	0.422695738	-4.229514656	2.34E-05	0.001905352	Transport and binding proteins	Cations and iron carrying compounds	amt	ammonium transporter	amt	NA	"The Ammonium Transporter (Amt) Family (TC 2.A.49) All functionally characterized members of the Amt family are ammonia or ammonium uptake transporters. Some, but not others, also transport methylammonium. The mechanism of energy coupling, if any, to methyl-NH2 or NH3 uptake by the AmtB protein of E. coli is not entirely clear. NH4+ uniport driven by the pmf, energy independent NH3 facilitation, and NH4+/K+ antiport have been proposed as possible transport mechanisms. In Corynebacterium glutamicum and Arabidopsis thaliana, uptake via the Amt1 homologues of AmtB has been reported to be driven by the pmf."
